CityCode,City,Country,Latitude,Longitude
98,Fuzhou,CN,26.06139,119.30611
110,Guangzhou,CN,23.11667,113.25
111,Guiyang,CN,26.58333,106.71667
116,Haikou,CN,20.04583,110.34167
119,Hangzhou,CN,30.29365,120.16142
122,Harbin,CN,45.75,126.65
124,Hefei,CN,31.86389,117.28083
125,Hegang,CN,47.35118,130.30012
128,Hohhot,CN,40.81056,111.65222
142,Jieyang,CN,23.5418,116.36581
143,Jinan,CN,36.66833,116.99722
159,Kunming,CN,25.03889,102.71833
162,Lanzhou,CN,36.05701,103.83987
167,Lhasa,CN,29.65,91.1
212,Nanchang,CN,28.68396,115.85306
214,Nanjing,CN,32.06167,118.77778
215,Nanning,CN,22.81667,108.31667
224,Ningbo,CN,29.87819,121.54945
260,Qingdao,CN,36.06488,120.38042
261,Qinhuangdao,CN,39.93167,119.58833
262,Qiqihar,CN,47.34088,123.96045
302,Shanghai,CN,31.22222,121.45806
303,Shantou,CN,23.36814,116.71479
305,Shenyang,CN,41.79222,123.43278
306,Shenzhen,CN,22.54554,114.0683
307,Shijiazhuang,CN,38.04139,114.47861
308,Shiyan,CN,32.6475,110.77806
321,Suzhou,CN,31.30408,120.59538
329,Taiyuan,CN,37.86944,112.56028
337,Tianjin,CN,39.14222,117.17667
349,Ürümqi,CN,43.80096,87.60046
364,Wuhan,CN,30.58333,114.26667
365,Wuxi,CN,31.56887,120.28857000000001
366,Xi’an,CN,34.25833,108.92861
367,Xiamen,CN,24.47979,118.08187
368,Xining,CN,36.62554,101.75739
369,Xinxiang,CN,35.19033,113.80151
370,Xuchang,CN,34.03189,113.86299
372,Yinchuan,CN,38.46806,106.27306
374,Yunfu,CN,22.92833,112.03954
377,Zhengzhou,CN,34.75778,113.64861
378,Zhuzhou,CN,27.83333,113.15
31,Bogotá,CO,4.60971,-74.08175
514,Medellín,CO,6.25184,-75.56359
171,Limassol,CY,34.68406,33.03794
221,Nicosia,CY,35.17531,33.3642
42,Brno,CZ,49.19522,16.60796
230,Olomouc,CZ,49.59552,17.25175
235,Ostrava,CZ,49.83465,18.28204
249,Pilsen,CZ,49.74747,13.37759
257,Prague,CZ,50.08804,14.42076
17,Augsburg,DE,48.37154,10.89851
27,Berlin,DE,52.52437,13.41053
460,Darmstadt,DE,49.87167,8.65027
86,Dresden,DE,51.05089,13.73832
87,Düsseldorf,DE,51.22172,6.77616
94,Freiburg,DE,47.9959,7.85222
117,Hamburg,DE,53.55073,9.99302
120,Hannover,DE,52.37052,9.73322
144,Köln,DE,50.93333,6.95
148,Karlsruhe,DE,49.00937,8.40444
470,Kassel,DE,51.31667,9.5
184,Mainz,DE,49.98419,8.2791
203,Munich,DE,48.13743,11.57549
204,Münster,DE,51.96236,7.62571
255,Potsdam,DE,52.39886,13.06566
317,Stuttgart,DE,48.78232,9.17702
361,Wiesbaden,DE,50.08258,8.24932
71,Copenhagen,DK,55.67594,12.56553
266,Quito,EC,-0.22985,-78.52495
444,Tallinn,EE,59.43696,24.75353
22,Barcelona,ES,41.38879,2.15899
29,Bilbao,ES,43.26271,-2.92528
45,Burgos,ES,42.34106,-3.70184
51,Castelló de la Plana,ES,39.98567,-0.04935
72,Córdoba,ES,37.89155,-4.77275
83,Donostia / San Sebastián,ES,43.31283,-1.97499
101,Gasteiz / Vitoria,ES,42.84998,-2.67268
106,Granada,ES,37.18817,-3.60667
133,Huelva,ES,37.26638,-6.94004
163,Las Palmas de Gran Canaria,ES,28.09973,-15.41343
183,Madrid,ES,40.4165,-3.70256
185,Málaga,ES,36.72016,-4.42034
205,Murcia,ES,37.98704,-1.13004
238,Oviedo,ES,43.36029,-5.84476
480,Palma,ES,39.56939,2.65024
241,Pamplona,ES,42.81687,-1.64323
284,Salamanca,ES,40.96882,-5.66388
292,Santa Cruz de Tenerife,ES,28.46824,-16.25462
293,Santander,ES,43.46472,-3.80444
301,Sevilla,ES,37.38283,-5.97317
352,Valencia,ES,39.46975,-0.37739
527,Valladolid,ES,41.65518,-4.72372
530,Zaragoza,ES,41.65606,-0.87734
126,Helsinki,FI,60.16952,24.93545
237,Oulu,FI,65.01236,25.46816
331,Tampere,FI,61.49911,23.78712
346,Turku,FI,60.45148,22.26869
355,Vantaa,FI,60.29414,25.04099
7,Amiens,FR,49.9,2.3
28,Besançon,FR,47.248779999999996,6.01815
34,Bordeaux,FR,44.84044,-0.5805
48,Caen,FR,49.18585,-0.35912
66,Clermont-Ferrand,FR,45.77969,3.08682
505,Dijon,FR,47.31667,5.01667
393,Grenoble,FR,45.17869,5.71479
169,Lille,FR,50.63297,3.05858
172,Limoges,FR,45.83362,1.24759
399,Lyon,FR,45.74846,4.84671
188,Marseille,FR,43.29695,5.38107
191,Metz,FR,49.11911,6.17269
199,Montpellier,FR,43.61092,3.87723
206,Nîmes,FR,43.83378,4.35962
213,Nancy,FR,48.68439,6.18496
216,Nantes,FR,47.21725,-1.55336
438,Nice,FR,43.70313,7.26608
232,Orléans,FR,47.90289,1.90389
242,Paris,FR,48.85341,2.3488
244,Perpignan,FR,42.69764,2.89541
271,Rennes,FR,48.11198,-1.67429
276,Rouen,FR,49.44313,1.09932
408,Saint-Étienne,FR,45.43389,4.39
316,Strasbourg,FR,48.58392,7.74553
446,Toulon,FR,43.12442,5.92836
342,Toulouse,FR,43.60426,1.44367
343,Tours,FR,47.39484,0.70398
24,Belfast,GB,54.59682,-5.92541
30,Birmingham,GB,52.48142,-1.89983
41,Bristol,GB,51.45523,-2.59665
50,Cardiff,GB,51.48,-3.18
